Feature,Importance
Voltage_V,0.24604382221823967
Current_A,0.2121695271831091
Power_Consumption_kWh,0.1838753175398511
Temperature_C,0.17751210374866472
Vibration_mm_s,0.13075804488303935
Runtime_Hours,0.01478313275060909
MachineType_Type_02,0.00521167163210492
MachineType_Type_03,0.0035908842029724196
MachineType_Type_15,0.003067445176648711
MachineType_Type_21,0.002068517132536062
MachineType_Type_18,0.0018908819662127178
MachineType_Type_25,0.0014958551504920647
MachineType_Type_24,0.0014948522241274409
MachineType_Type_14,0.0014749584699679556
MachineType_Type_20,0.001383765637816394
MachineType_Type_16,0.0013021511927513913
MachineType_Type_12,0.0012044913806343877
MachineType_Type_19,0.0011689178282113682
MachineType_Type_05,0.00109088915195599
MachineType_Type_10,0.0010876382338295446
MachineType_Type_17,0.0010563048525869968
MachineType_Type_22,0.0009447505135516721
MachineType_Type_11,0.0009041860420134861
MachineType_Type_13,0.0006895066576976437
MachineType_Type_08,0.0006482230136803567
MachineType_Type_01,0.0005873395796015677
MachineType_Type_06,0.0005365734108286565
MachineType_Type_04,0.0005248525260776014
MachineType_Type_07,0.0004984625626025451
MachineType_Type_23,0.0004908633069706839
MachineType_Type_09,0.0004440698306143117
